method,route,actual,status,durationMs,result
"POST","/api/v1/access-requests/{requestId}/reject","/api/v1/access-requests/1/reject","400","13","PASS_VALIDATION"
"POST","/api/v1/auth/change-password","/api/v1/auth/change-password","400","227","PASS_VALIDATION"
"POST","/api/v1/auth/forgot-password","/api/v1/auth/forgot-password","400","16","PASS_VALIDATION"
"POST","/api/v1/auth/login","/api/v1/auth/login","200","226","PASS_SUCCESS"
"POST","/api/v1/auth/refresh","/api/v1/auth/refresh","401","18","PASS_AUTH_REJECTION"
"POST","/api/v1/branches","/api/v1/branches","400","12","PASS_VALIDATION"
"PUT","/api/v1/branches/{id}","/api/v1/branches/999999","404","13","PASS_NOT_FOUND_BRANCH"
"DELETE","/api/v1/branches/{id}","/api/v1/branches/999999","404","13","PASS_NOT_FOUND_BRANCH"
"POST","/api/v1/colleges","/api/v1/colleges","400","19","PASS_VALIDATION"
"PUT","/api/v1/colleges/{id}","/api/v1/colleges/999999","400","16","PASS_VALIDATION"
"PATCH","/api/v1/colleges/{id}","/api/v1/colleges/999999","400","9","PASS_VALIDATION"
"DELETE","/api/v1/colleges/{id}","/api/v1/colleges/999999","404","11","PASS_NOT_FOUND_BRANCH"
"PATCH","/api/v1/colleges/{id}/status","/api/v1/colleges/999999/status","404","14","PASS_NOT_FOUND_BRANCH"
"POST","/api/v1/course-semester-mappings","/api/v1/course-semester-mappings","409","15","PASS_CONFLICT_BRANCH"
"PUT","/api/v1/course-semester-mappings/{id}","/api/v1/course-semester-mappings/999999","404","12","PASS_NOT_FOUND_BRANCH"
"PATCH","/api/v1/course-semester-mappings/{id}/status","/api/v1/course-semester-mappings/999999/status","404","12","PASS_NOT_FOUND_BRANCH"
"POST","/api/v1/course-structures","/api/v1/course-structures","200","16","PASS_SUCCESS"
"PUT","/api/v1/course-structures/{id}","/api/v1/course-structures/999999","400","11","PASS_VALIDATION"
"DELETE","/api/v1/course-structures/{id}","/api/v1/course-structures/999999","404","12","PASS_NOT_FOUND_BRANCH"
"POST","/api/v1/courses","/api/v1/courses","400","12","PASS_VALIDATION"
